num_samples,lambda,error,num_frac,dist_to_vertex,min_error,error_ratio,converged
10,0.004982128296440718,2.0489219423325267e-06,0.1,0.011133372783660889,0.004982128296440718,0.0004112543516384949,True
10,0.11553966959683619,0.00015610072296112776,0.1,0.11900532245635986,0.004982128296440718,0.031332136322673114,True
10,0.22609721089723164,0.0010552757885307074,0.1,0.2622131407260895,0.004982128296440718,0.21181224684330327,True
10,0.33665475219762714,0.0009996789740398526,0.1,0.04652036726474762,0.004982128296440718,0.2006529969840466,True
10,0.4472122934980226,0.002328806323930621,0.1,0.29077160358428955,0.004982128296440718,0.46743202610706425,True
10,0.557769834798418,0.05141086503863335,0.0,0.0,0.004982128296440718,10.319056832671647,True
10,0.6683273760988135,0.0049999128095805645,0.0,0.0,0.004982128296440718,1.003569661815524,True
10,0.7788849173992091,0.0002641210739966482,0.0,0.0,0.004982128296440718,0.05301370383924856,True
10,0.8894424586996045,0.002404040889814496,0.0,0.0,0.004982128296440718,0.48253291500581524,True
10,1.0,0.0019120645010843873,0.0,0.0,0.004982128296440718,0.3837846774139448,True
100,6.161119438269389e-10,2.9672619916709664e-10,1.0,2.7849197387695312,6.161119438269389e-10,0.48161085357962924,True
100,0.11111111165876617,4.621806147042662e-05,0.0,0.0,6.161119438269389e-10,75015.68819352236,True
100,0.2222222227014204,1.4148395166557748e-06,0.01,0.27523019909858704,6.161119438269389e-10,2296.400079290124,True
100,0.3333333337440746,2.6752197300083935e-05,0.0,0.0,6.161119438269389e-10,43421.00095303204,True
100,0.44444444478672884,3.312491116957972e-07,0.01,0.48088639974594116,6.161119438269389e-10,537.644359949046,True
100,0.5555555558293831,3.554987779352814e-05,0.0,0.0,6.161119438269389e-10,57700.35486199538,True
100,0.6666666668720372,5.045686975790886e-06,0.0,0.0,6.161119438269389e-10,8189.562020904728,True
100,0.7777777779146915,0.0001819726312533021,0.0,0.0,6.161119438269389e-10,295356.44143333926,True
100,0.8888888889573457,0.0015970037784427404,0.0,0.0,6.161119438269389e-10,2592067.5527292266,True
100,1.0,0.0004446234670467675,0.0,0.0,6.161119438269389e-10,721660.197471612,True
1000,1.8911856464889794e-21,1.4784973245696165e-10,1.0,9.012815475463867,1.8911856464889794e-21,78178328357.89938,True
1000,0.1111111111111111,1.4917986845830455e-09,0.001,0.45332854986190796,1.8911856464889794e-21,788816627998.7356,True
