epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity
0,-1,36.11,0.0,49.97167730010136
1,-1,50.75,0.0,49.97428596982887
2,-1,50.48,0.0,49.964969292230634
3,-1,53.3,0.0,49.96124262119134
4,-1,50.32,0.0,49.96869596326993
5,-1,59.16,0.0,49.97577663824459
6,-1,48.36,0.0,49.97018663168565
7,-1,56.96,0.0,49.96422395802278
8,-1,62.39,0.0,49.948199272553815
9,-1,52.01,0.0,49.97316796851708
10,-1,64.1,0.0,49.96012461987955
11,-1,57.91,0.0,49.98136664480353
12,-1,57.12,0.0,49.99329199212927
13,-1,49.31,0.0,49.99478266054499
14,-1,60.52,0.0,49.99962733289607
15,-1,59.96,0.0,49.98434798163497
16,-1,57.93,0.0,49.969441297477786
17,-1,55.64,0.0,49.96720529485421
18,-1,52.45,0.0,49.983602647427105
19,-1,49.49,0.0,49.99701866316857
20,-1,46.23,0.0,49.98285731321925
21,-1,49.42,0.0,49.970931965893506
22,-1,51.04,0.0,49.99552799475285
23,-1,59.09,0.0,49.98770198557033
24,-1,51.82,0.0,49.990683322401765
25,-1,56.04,0.0,49.99291932502534
26,-1,41.3,0.0,50.032049370937926
27,-1,41.93,0.0,50.00559000655894
28,-1,43.59,0.0,50.008944010494304
29,-1,51.8,0.0,50.00968934470217
30,-1,37.86,0.0,50.010807346013955
31,-1,36.14,0.0,50.027950032794706
32,-1,65.85,0.0,49.98621131715461
33,-1,42.51,0.0,49.997763997376424
34,-1,49.03,0.0,50.031676703834
35,-1,44.15,0.0,49.965341959334566
36,-1,49.17,0.0,50.0126706815336
37,-1,50.02,0.0,49.98546598294676
38,-1,55.96,0.0,49.98248464611532
39,-1,49.87,0.0,49.98583865005068
40,-1,48.25,0.0,49.99291932502534
41,-1,63.87,0.0,50.0126706815336
42,-1,43.01,0.0,50.007826009182516
43,-1,50.24,0.0,49.99403732633713
44,-1,53.86,0.0,50.02683203148292
45,-1,37.08,0.0,49.99440999344106
46,-1,35.25,0.0,49.97018663168565
47,-1,55.97,0.0,50.01677001967683
48,-1,56.3,0.0,50.01006201180609
49,-1,57.78,0.0,49.99478266054499
50,-1,56.33,0.0,49.99254665792141
51,-1,54.82,0.0,49.98956532108998
52,-1,35.14,0.0,50.00521733945501
53,-1,40.35,0.0,49.99552799475285
54,-1,62.07,0.0,50.014906684157175
55,-1,47.28,0.0,49.99291932502534
56,-1,60.2,0.0,49.99590066185678
57,-1,55.46,0.0,49.972049967205294
58,-1,59.63,0.0,50.00819867628645
59,-1,49.83,0.0,49.99329199212927
60,-1,41.49,0.0,49.983602647427105
61,-1,64.6,0.0,50.003354003935364
62,-1,53.42,0.0,50.00447200524715
63,-1,54.93,0.0,49.97279530141316
64,-1,48.72,0.0,50.00409933814322
65,-1,54.95,0.0,49.99478266054499
66,-1,53.43,0.0,50.009316677598235
67,-1,55.55,0.0,49.99142865660962
68,-1,60.46,0.0,49.9873293184664
69,-1,50.73,0.0,49.997763997376424
70,-1,55.3,0.0,50.00708067497466
71,-1,65.4,0.0,50.01006201180609
72,-1,53.16,0.0,50.01565201836503
73,-1,46.82,0.0,50.026086697275055
74,-1,43.49,0.0,50.007826009182516
75,-1,63.88,0.0,49.99552799475285
76,-1,56.86,0.0,49.997763997376424
77,-1,45.96,0.0,50.00596267366287
78,-1,42.32,0.0,50.00521733945501
79,-1,48.24,0.0,50.022360026235766
80,-1,66.58,0.0,50.013416015741456
81,-1,63.13,0.0,50.01826068809254
82,-1,51.01,0.0,50.01378868284539
83,-1,63.71,0.0,49.99850933158428
84,-1,54.35,0.0,50.02086935782005
85,-1,65.44,0.0,49.97279530141316
86,-1,33.79,0.0,50.007826009182516
87,-1,62.5,0.0,50.0
88,-1,63.65,0.0,50.0
89,-1,63.16,0.0,49.98472064873889
90,-1,67.8,0.0,49.99962733289607
91,-1,70.12,0.0,49.997763997376424
92,-1,67.33,0.0,50.010807346013955
93,-1,54.55,0.0,50.00409933814322
94,-1,60.52,0.0,49.98472064873889
95,-1,54.19,0.0,50.00298133683143
96,-1,64.82,0.0,50.00111800131179
97,-1,70.39,0.0,49.99888199868821
98,-1,61.93,0.0,49.98844731977819
99,-1,65.54,0.0,50.00484467235108
100,-1,52.3,0.0,50.00708067497466
101,-1,67.55,0.0,49.99515532764892
102,-1,73.1,0.0,50.00298133683143
103,-1,59.46,0.0,49.9873293184664
104,-1,67.05,0.0,49.986583984258544
105,-1,70.99,0.0,49.98583865005068
106,-1,68.53,0.0,50.003354003935364
107,-1,69.71,0.0,50.0063353407668
108,-1,72.3,0.0,49.98695665136247
109,-1,64.36,0.0,49.98844731977819
110,-1,72.51,0.0,50.00559000655894
111,-1,66.99,0.0,49.996645996064636
112,-1,71.49,0.0,50.01863335519647
113,-1,76.36,0.0,49.97987597638781
114,-1,75.34,0.0,49.97316796851708
115,-1,67.89,0.0,49.99515532764892
116,-1,75.23,0.0,50.01714268678075
117,-1,78.28,0.0,49.99291932502534
118,-1,73.76,0.0,49.99701866316857
119,-1,71.69,0.0,50.0063353407668
120,-1,77.08,0.0,49.99291932502534
121,-1,76.17,0.0,49.99850933158428
122,-1,74.12,0.0,50.00447200524715
123,-1,74.3,0.0,50.0
124,-1,79.03,0.0,49.999254665792144
125,-1,77.4,0.0,50.002236002623576
126,-1,74.09,0.0,49.99850933158428
127,-1,80.49,0.0,49.98956532108998
128,-1,81.82,0.0,50.0
129,-1,77.59,0.0,50.00037266710393
130,-1,80.44,0.0,49.998136664480356
131,-1,81.09,0.0,49.99888199868821
132,-1,83.44,0.0,49.99031065529783
133,-1,80.94,0.0,49.99142865660962
134,-1,82.01,0.0,49.98546598294676
135,-1,83.01,0.0,49.99962733289607
136,-1,80.85,0.0,49.99962733289607
137,-1,83.64,0.0,50.00745334207859
138,-1,84.08,0.0,49.98807465267426
139,-1,82.79,0.0,49.99701866316857
140,-1,84.6,0.0,50.001863335519644
141,-1,84.57,0.0,49.99403732633713
142,-1,82.92,0.0,49.997763997376424
143,-1,84.45,0.0,49.99552799475285
144,-1,84.23,0.0,50.00037266710393
145,-1,84.9,0.0,50.003354003935364
146,-1,85.52,0.0,49.99701866316857
147,-1,85.27,0.0,50.00149066841572
148,-1,85.92,0.0,50.0
149,-1,85.83,0.0,50.001863335519644
149,-1,85.83,0.0,50.001863335519644
150,-1,76.03,0.0,50.001863335519644
151,-1,77.67,0.0,50.001863335519644
152,-1,77.84,0.0,50.001863335519644
153,-1,77.15,0.0,50.001863335519644
154,-1,82.96,0.0,50.001863335519644
155,-1,83.29,0.0,50.001863335519644
156,-1,81.22,0.0,50.001863335519644
157,-1,80.37,0.0,50.001863335519644
158,-1,76.84,0.0,50.001863335519644
159,-1,80.88,0.0,50.001863335519644
160,-1,83.16,0.0,50.001863335519644
161,-1,80.01,0.0,50.001863335519644
162,-1,81.51,0.0,50.001863335519644
163,-1,82.07,0.0,50.001863335519644
164,-1,82.73,0.0,50.001863335519644
165,-1,84.75,0.0,50.001863335519644
166,-1,81.91,0.0,50.001863335519644
167,-1,81.65,0.0,50.001863335519644
168,-1,82.6,0.0,50.001863335519644
169,-1,84.47,0.0,50.001863335519644
170,-1,83.24,0.0,50.001863335519644
171,-1,82.38,0.0,50.001863335519644
172,-1,84.09,0.0,50.001863335519644
173,-1,83.37,0.0,50.001863335519644
174,-1,81.46,0.0,50.001863335519644
175,-1,82.84,0.0,50.001863335519644
176,-1,81.0,0.0,50.001863335519644
177,-1,83.51,0.0,50.001863335519644
178,-1,81.64,0.0,50.001863335519644
179,-1,81.37,0.0,50.001863335519644
180,-1,84.29,0.0,50.001863335519644
181,-1,80.48,0.0,50.001863335519644
182,-1,83.7,0.0,50.001863335519644
183,-1,83.72,0.0,50.001863335519644
184,-1,85.66,0.0,50.001863335519644
185,-1,84.37,0.0,50.001863335519644
186,-1,84.83,0.0,50.001863335519644
187,-1,81.64,0.0,50.001863335519644
188,-1,80.31,0.0,50.001863335519644
189,-1,85.02,0.0,50.001863335519644
190,-1,83.0,0.0,50.001863335519644
191,-1,85.86,0.0,50.001863335519644
192,-1,83.56,0.0,50.001863335519644
193,-1,85.13,0.0,50.001863335519644
194,-1,81.88,0.0,50.001863335519644
195,-1,82.61,0.0,50.001863335519644
196,-1,83.99,0.0,50.001863335519644
197,-1,86.13,0.0,50.001863335519644
198,-1,83.95,0.0,50.001863335519644
199,-1,86.64,0.0,50.001863335519644
200,-1,84.84,0.0,50.001863335519644
201,-1,85.56,0.0,50.001863335519644
202,-1,85.16,0.0,50.001863335519644
203,-1,84.47,0.0,50.001863335519644
204,-1,85.45,0.0,50.001863335519644
205,-1,85.14,0.0,50.001863335519644
206,-1,82.88,0.0,50.001863335519644
207,-1,86.58,0.0,50.001863335519644
208,-1,85.35,0.0,50.001863335519644
209,-1,86.71,0.0,50.001863335519644
210,-1,82.93,0.0,50.001863335519644
211,-1,85.91,0.0,50.001863335519644
212,-1,86.74,0.0,50.001863335519644
213,-1,84.85,0.0,50.001863335519644
214,-1,86.38,0.0,50.001863335519644
215,-1,87.31,0.0,50.001863335519644
216,-1,85.99,0.0,50.001863335519644
217,-1,86.68,0.0,50.001863335519644
218,-1,86.97,0.0,50.001863335519644
219,-1,86.07,0.0,50.001863335519644
220,-1,85.85,0.0,50.001863335519644
221,-1,85.76,0.0,50.001863335519644
222,-1,87.07,0.0,50.001863335519644
223,-1,87.18,0.0,50.001863335519644
224,-1,86.92,0.0,50.001863335519644
225,-1,86.63,0.0,50.001863335519644
226,-1,85.72,0.0,50.001863335519644
227,-1,85.57,0.0,50.001863335519644
228,-1,84.57,0.0,50.001863335519644
229,-1,87.51,0.0,50.001863335519644
230,-1,86.85,0.0,50.001863335519644
231,-1,87.31,0.0,50.001863335519644
232,-1,86.6,0.0,50.001863335519644
233,-1,88.07,0.0,50.001863335519644
234,-1,86.71,0.0,50.001863335519644
235,-1,86.61,0.0,50.001863335519644
236,-1,86.82,0.0,50.001863335519644
237,-1,87.52,0.0,50.001863335519644
238,-1,87.9,0.0,50.001863335519644
239,-1,85.99,0.0,50.001863335519644
240,-1,87.78,0.0,50.001863335519644
241,-1,87.08,0.0,50.001863335519644
242,-1,87.97,0.0,50.001863335519644
243,-1,87.65,0.0,50.001863335519644
244,-1,87.38,0.0,50.001863335519644
245,-1,88.09,0.0,50.001863335519644
246,-1,87.75,0.0,50.001863335519644
247,-1,88.12,0.0,50.001863335519644
248,-1,87.45,0.0,50.001863335519644
249,-1,88.36,0.0,50.001863335519644
250,-1,88.04,0.0,50.001863335519644
251,-1,86.94,0.0,50.001863335519644
252,-1,88.05,0.0,50.001863335519644
253,-1,87.72,0.0,50.001863335519644
254,-1,88.37,0.0,50.001863335519644
255,-1,88.69,0.0,50.001863335519644
256,-1,88.39,0.0,50.001863335519644
257,-1,88.2,0.0,50.001863335519644
258,-1,88.34,0.0,50.001863335519644
259,-1,88.1,0.0,50.001863335519644
260,-1,88.09,0.0,50.001863335519644
261,-1,88.81,0.0,50.001863335519644
262,-1,89.07,0.0,50.001863335519644
263,-1,89.03,0.0,50.001863335519644
264,-1,88.74,0.0,50.001863335519644
265,-1,88.99,0.0,50.001863335519644
266,-1,88.84,0.0,50.001863335519644
267,-1,88.97,0.0,50.001863335519644
268,-1,88.72,0.0,50.001863335519644
269,-1,89.45,0.0,50.001863335519644
270,-1,89.06,0.0,50.001863335519644
271,-1,88.76,0.0,50.001863335519644
272,-1,89.17,0.0,50.001863335519644
273,-1,89.12,0.0,50.001863335519644
274,-1,89.3,0.0,50.001863335519644
275,-1,89.44,0.0,50.001863335519644
276,-1,89.36,0.0,50.001863335519644
277,-1,89.25,0.0,50.001863335519644
278,-1,89.31,0.0,50.001863335519644
279,-1,89.19,0.0,50.001863335519644
280,-1,89.52,0.0,50.001863335519644
281,-1,89.35,0.0,50.001863335519644
282,-1,89.75,0.0,50.001863335519644
283,-1,89.54,0.0,50.001863335519644
284,-1,89.48,0.0,50.001863335519644
285,-1,89.58,0.0,50.001863335519644
286,-1,89.62,0.0,50.001863335519644
287,-1,89.56,0.0,50.001863335519644
288,-1,89.55,0.0,50.001863335519644
289,-1,89.46,0.0,50.001863335519644
290,-1,89.5,0.0,50.001863335519644
291,-1,89.57,0.0,50.001863335519644
292,-1,89.54,0.0,50.001863335519644
293,-1,89.38,0.0,50.001863335519644
294,-1,89.49,0.0,50.001863335519644
295,-1,89.62,0.0,50.001863335519644
296,-1,89.57,0.0,50.001863335519644
297,-1,89.58,0.0,50.001863335519644
298,-1,89.49,0.0,50.001863335519644
299,-1,89.49,0.0,50.001863335519644
