epoch,quantize_thresholds
12,"[0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088, 0.020860731601715088]"
13,"[0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556, 0.016488922759890556]"
14,"[0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696, 0.013060140423476696]"
15,"[0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549, 0.010367077775299549]"
16,"[0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094, 0.008248540572822094]"
17,"[0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047, 0.006579119246453047]"
18,"[0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326, 0.005261434242129326]"
19,"[0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964, 0.004218929912894964]"
20,"[0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698, 0.003392769256606698]"
21,"[0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936, 0.0027363644912838936]"
22,"[0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965, 0.0022137591149657965]"
23,"[0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708, 0.0017967629246413708]"
24,"[0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758, 0.0014630707446485758]"
25,"[0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944, 0.001195460674352944]"
26,"[0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106, 0.0009801851119846106]"
