epoch,test_acc,model_sparsity
1,96.93,100.0
2,98.21,100.0
3,98.32,100.0
4,98.37,100.0
5,98.25,49.11557390167783
6,98.55,49.11557390167783
7,98.66,49.11557390167783
8,98.79,49.11557390167783
9,98.77,49.11557390167783
10,98.66,34.58314438902078
11,98.79,34.58314438902078
12,98.74,34.58314438902078
13,98.82,34.58314438902078
14,98.84,34.58314438902078
15,98.63,26.093487422977407
16,98.65,26.093487422977407
17,98.84,26.093487422977407
18,98.83,26.093487422977407
19,98.82,26.093487422977407
20,98.75,20.752420710074954
21,98.8,20.752420710074954
22,98.78,20.752420710074954
23,98.8,20.752420710074954
24,98.89,20.752420710074954
25,98.81,17.43778174931313
26,98.8,17.43778174931313
27,98.76,17.43778174931313
28,98.77,17.43778174931313
29,98.78,17.43778174931313
30,98.89,15.198875003334312
31,98.8,15.198875003334312
32,98.8,15.198875003334312
33,98.82,15.198875003334312
34,98.76,15.198875003334312
35,98.75,13.576065645922805
36,98.74,13.576065645922805
37,98.77,13.576065645922805
38,98.76,13.576065645922805
39,98.79,13.576065645922805
40,98.75,12.396886420016537
41,98.73,12.396886420016537
42,98.78,12.396886420016537
43,98.76,12.396886420016537
44,98.76,12.396886420016537
45,98.74,11.521796393608792
46,98.76,11.521796393608792
47,98.75,11.521796393608792
48,98.7,11.521796393608792
49,98.77,11.521796393608792
50,98.77,10.832677585425058
51,98.85,10.832677585425058
52,98.9,10.832677585425058
53,98.88,10.832677585425058
54,98.95,10.832677585425058
55,98.96,10.832677585425058
56,98.99,10.832677585425058
57,99.02,10.832677585425058
58,99.01,10.832677585425058
59,99.03,10.832677585425058
60,99.05,10.832677585425058
61,99.05,10.832677585425058
62,99.05,10.832677585425058
63,99.07,10.832677585425058
64,99.06,10.832677585425058
65,99.12,10.832677585425058
66,99.08,10.832677585425058
67,99.11,10.832677585425058
68,99.11,10.832677585425058
69,99.1,10.832677585425058
70,99.13,10.832677585425058
71,99.13,10.832677585425058
72,99.08,10.832677585425058
73,99.12,10.832677585425058
74,99.16,10.832677585425058
75,99.14,10.832677585425058
76,99.15,10.832677585425058
77,99.15,10.832677585425058
78,99.12,10.832677585425058
79,99.13,10.832677585425058
80,99.1,10.832677585425058
81,99.15,10.832677585425058
82,99.16,10.832677585425058
83,99.12,10.832677585425058
84,99.14,10.832677585425058
85,99.14,10.832677585425058
86,99.13,10.832677585425058
87,99.15,10.832677585425058
88,99.17,10.832677585425058
89,99.16,10.832677585425058
90,99.1,10.832677585425058
91,99.12,10.832677585425058
92,99.15,10.832677585425058
93,99.13,10.832677585425058
94,99.16,10.832677585425058
95,99.13,10.832677585425058
96,99.16,10.832677585425058
97,99.15,10.832677585425058
98,99.18,10.832677585425058
99,99.18,10.832677585425058
100,99.16,10.832677585425058
