epoch,test_acc,model_sparsity
1,93.5,90.00023340179786
2,94.94,90.00023340179786
3,95.91,90.00023340179786
4,96.31,90.00023340179786
5,96.55,90.00023340179786
6,95.8,90.00023340179786
7,96.71,90.00023340179786
8,96.68,90.00023340179786
9,96.26,90.00023340179786
10,96.91,90.00023340179786
11,96.74,90.00023340179786
12,96.41,90.00023340179786
13,96.81,90.00023340179786
14,96.57,90.00023340179786
15,96.35,90.00023340179786
16,96.17,90.00023340179786
17,96.56,90.00023340179786
18,96.48,90.00023340179786
19,96.64,90.00023340179786
20,96.42,90.00023340179786
21,95.79,90.00023340179786
22,95.51,90.00023340179786
23,95.7,90.00023340179786
24,95.8,90.00023340179786
25,95.88,90.00023340179786
26,95.07,90.00023340179786
27,95.18,90.00023340179786
28,94.87,90.00023340179786
29,94.45,90.00023340179786
30,94.96,90.00023340179786
31,95.62,90.00023340179786
32,95.4,90.00023340179786
33,95.34,90.00023340179786
34,95.48,90.00023340179786
35,95.27,90.00023340179786
36,95.52,90.00023340179786
37,95.35,90.00023340179786
38,95.5,90.00023340179786
39,95.35,90.00023340179786
40,94.82,90.00023340179786
41,95.02,90.00023340179786
42,95.01,90.00023340179786
43,94.92,90.00023340179786
44,95.85,90.00023340179786
45,95.73,90.00023340179786
46,95.97,90.00023340179786
47,95.93,90.00023340179786
48,96.51,90.00023340179786
49,96.69,90.00023340179786
50,97.17,90.00023340179786
