epoch,test_acc,model_sparsity
1,97.19,100.0
2,98.29,100.0
3,98.36,100.0
4,98.16,100.0
5,98.42,49.112656379204566
6,98.62,49.112656379204566
7,98.6,49.112656379204566
8,98.73,49.112656379204566
9,98.68,49.112656379204566
10,98.74,34.632992344421034
11,98.71,34.632992344421034
12,98.84,34.632992344421034
13,98.76,34.632992344421034
14,98.74,34.632992344421034
15,98.62,26.218023953693084
16,98.73,26.218023953693084
17,98.85,26.218023953693084
18,98.78,26.218023953693084
19,98.79,26.218023953693084
20,98.79,21.04800741550855
21,98.84,21.04800741550855
22,98.76,21.04800741550855
23,98.71,21.04800741550855
24,98.88,21.04800741550855
25,98.85,17.72853370321961
26,98.74,17.72853370321961
27,98.76,17.72853370321961
28,98.84,17.72853370321961
29,98.8,17.72853370321961
30,98.78,15.460285016938302
31,98.82,15.460285016938302
32,98.76,15.460285016938302
33,98.79,15.460285016938302
34,98.81,15.460285016938302
35,98.71,13.877237322948064
36,98.74,13.877237322948064
37,98.74,13.877237322948064
38,98.76,13.877237322948064
39,98.76,13.877237322948064
40,98.69,12.697557950332097
41,98.7,12.697557950332097
42,98.75,12.697557950332097
43,98.73,12.697557950332097
44,98.74,12.697557950332097
45,98.73,11.833554509322735
46,98.74,11.833554509322735
47,98.75,11.833554509322735
48,98.75,11.833554509322735
49,98.78,11.833554509322735
50,98.7,11.117427778815118
51,98.72,11.117427778815118
52,98.71,11.117427778815118
53,98.71,11.117427778815118
54,98.77,11.117427778815118
55,98.75,10.565015737949798
56,98.77,10.565015737949798
57,98.78,10.565015737949798
58,98.75,10.565015737949798
59,98.73,10.565015737949798
60,98.7,10.100962949131745
61,98.74,10.100962949131745
62,98.74,10.100962949131745
63,98.73,10.100962949131745
64,98.71,10.100962949131745
65,98.7,9.709598148790311
66,98.74,9.709598148790311
67,98.71,9.709598148790311
68,98.69,9.709598148790311
69,98.69,9.709598148790311
70,98.75,9.376167008989304
71,98.74,9.376167008989304
72,98.77,9.376167008989304
73,98.75,9.376167008989304
74,98.74,9.376167008989304
75,98.71,9.105337565685934
76,98.71,9.105337565685934
77,98.73,9.105337565685934
78,98.71,9.105337565685934
79,98.69,9.105337565685934
80,98.68,8.867434447437915
81,98.66,8.867434447437915
82,98.68,8.867434447437915
83,98.7,8.867434447437915
84,98.67,8.867434447437915
85,98.69,8.665875323428205
86,98.67,8.665875323428205
87,98.65,8.665875323428205
88,98.7,8.665875323428205
89,98.7,8.665875323428205
90,98.61,8.481821334258049
91,98.63,8.481821334258049
92,98.65,8.481821334258049
93,98.67,8.481821334258049
94,98.71,8.481821334258049
95,98.64,8.320857451519112
96,98.67,8.320857451519112
97,98.65,8.320857451519112
98,98.68,8.320857451519112
99,98.7,8.320857451519112
100,98.68,8.175648190135773
