epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity
0,-1,31.89,0.0,50.0
1,-1,46.74,0.0,50.0
2,-1,41.92,0.0,50.0
3,-1,43.45,0.0,50.0
4,-1,48.9,0.0,50.0
5,-1,53.76,0.0,50.0
6,-1,46.31,0.0,50.0
7,-1,68.94,0.0,50.0
8,-1,63.85,0.0,50.0
9,-1,63.48,0.0,50.0
10,-1,65.31,0.0,50.0
11,-1,54.0,0.0,50.0
12,-1,64.99,0.0,50.0
13,-1,64.27,0.0,50.0
14,-1,58.81,0.0,50.0
15,-1,67.86,0.0,50.0
16,-1,66.52,0.0,50.0
17,-1,52.63,0.0,50.0
18,-1,66.16,0.0,50.0
19,-1,68.6,0.0,50.0
20,-1,58.22,0.0,50.0
21,-1,61.19,0.0,50.0
22,-1,60.93,0.0,50.0
23,-1,40.27,0.0,50.0
24,-1,56.86,0.0,50.0
25,-1,69.96,0.0,50.0
26,-1,59.97,0.0,50.0
27,-1,61.55,0.0,50.0
28,-1,50.83,0.0,50.0
29,-1,58.79,0.0,50.0
30,-1,52.92,0.0,50.0
31,-1,67.81,0.0,50.0
32,-1,62.25,0.0,50.0
33,-1,67.95,0.0,50.0
34,-1,66.12,0.0,50.0
35,-1,58.23,0.0,50.0
36,-1,68.11,0.0,50.0
37,-1,68.78,0.0,50.0
38,-1,61.72,0.0,50.0
39,-1,37.06,0.0,50.0
40,-1,64.21,0.0,50.0
41,-1,59.07,0.0,50.0
42,-1,69.7,0.0,50.0
43,-1,55.98,0.0,50.0
44,-1,67.36,0.0,50.0
45,-1,67.64,0.0,50.0
46,-1,57.16,0.0,50.0
47,-1,46.96,0.0,50.0
48,-1,61.25,0.0,50.0
49,-1,53.04,0.0,50.0
50,-1,53.89,0.0,50.0
51,-1,56.1,0.0,50.0
52,-1,65.59,0.0,50.0
53,-1,62.4,0.0,50.0
54,-1,42.92,0.0,50.0
55,-1,69.12,0.0,50.0
56,-1,66.65,0.0,50.0
57,-1,60.65,0.0,50.0
58,-1,59.7,0.0,50.0
59,-1,64.69,0.0,50.0
60,-1,62.16,0.0,50.0
61,-1,60.94,0.0,50.0
62,-1,72.61,0.0,50.0
63,-1,60.53,0.0,50.0
64,-1,54.49,0.0,50.0
65,-1,56.19,0.0,50.0
66,-1,58.05,0.0,50.0
67,-1,65.31,0.0,50.0
68,-1,67.45,0.0,50.0
69,-1,68.76,0.0,50.0
70,-1,61.65,0.0,50.0
71,-1,66.16,0.0,50.0
72,-1,63.18,0.0,50.0
73,-1,66.48,0.0,50.0
74,-1,69.41,0.0,50.0
75,-1,66.28,0.0,50.0
76,-1,73.14,0.0,50.0
77,-1,55.34,0.0,50.0
78,-1,71.78,0.0,50.0
79,-1,58.15,0.0,50.0
80,-1,73.88,0.0,50.0
81,-1,72.6,0.0,50.0
82,-1,66.36,0.0,50.0
83,-1,67.73,0.0,50.0
84,-1,70.58,0.0,50.0
85,-1,70.2,0.0,50.0
86,-1,49.11,0.0,50.0
87,-1,64.15,0.0,50.0
88,-1,70.76,0.0,50.0
89,-1,76.22,0.0,50.0
90,-1,66.19,0.0,50.0
91,-1,69.18,0.0,50.0
92,-1,71.71,0.0,50.0
93,-1,72.87,0.0,50.0
94,-1,71.97,0.0,50.0
95,-1,72.46,0.0,50.0
96,-1,72.44,0.0,50.0
97,-1,73.37,0.0,50.0
98,-1,77.74,0.0,50.0
99,-1,72.46,0.0,50.0
100,-1,64.17,0.0,50.0
101,-1,73.72,0.0,50.0
102,-1,72.17,0.0,50.0
103,-1,68.76,0.0,50.0
104,-1,64.8,0.0,50.0
105,-1,77.44,0.0,50.0
106,-1,70.54,0.0,50.0
107,-1,72.82,0.0,50.0
108,-1,69.23,0.0,50.0
109,-1,77.57,0.0,50.0
110,-1,78.65,0.0,50.0
111,-1,79.46,0.0,50.0
112,-1,77.6,0.0,50.0
113,-1,70.55,0.0,50.0
114,-1,74.5,0.0,50.0
115,-1,75.68,0.0,50.0
116,-1,76.87,0.0,50.0
117,-1,79.2,0.0,50.0
118,-1,80.05,0.0,50.0
119,-1,81.24,0.0,50.0
120,-1,75.52,0.0,50.0
121,-1,74.54,0.0,50.0
122,-1,80.14,0.0,50.0
123,-1,75.4,0.0,50.0
124,-1,75.19,0.0,50.0
125,-1,83.51,0.0,50.0
126,-1,80.14,0.0,50.0
127,-1,81.77,0.0,50.0
128,-1,79.76,0.0,50.0
129,-1,82.15,0.0,50.0
130,-1,80.83,0.0,50.0
131,-1,81.39,0.0,50.0
132,-1,81.75,0.0,50.0
133,-1,83.03,0.0,50.0
134,-1,82.01,0.0,50.0
135,-1,82.23,0.0,50.0
136,-1,80.17,0.0,50.0
137,-1,80.14,0.0,50.0
138,-1,84.25,0.0,50.0
139,-1,84.2,0.0,50.0
140,-1,81.79,0.0,50.0
141,-1,84.54,0.0,50.0
142,-1,85.57,0.0,50.0
143,-1,86.16,0.0,50.0
144,-1,85.25,0.0,50.0
145,-1,85.53,0.0,50.0
146,-1,86.03,0.0,50.0
147,-1,86.74,0.0,50.0
148,-1,86.59,0.0,50.0
149,-1,87.42,0.0,50.0
149,-1,87.42,0.0,50.0
150,-1,87.42,0.0,50.0
151,-1,87.72,0.0,50.0
152,-1,87.3,0.0,50.0
153,-1,87.37,0.0,50.0
154,-1,87.18,0.0,50.0
155,-1,87.62,0.0,50.0
156,-1,87.78,0.0,50.0
157,-1,87.39,0.0,50.0
158,-1,87.62,0.0,50.0
159,-1,87.6,0.0,50.0
160,-1,87.36,0.0,50.0
161,-1,87.4,0.0,50.0
162,-1,87.1,0.0,50.0
163,-1,87.77,0.0,50.0
164,-1,87.47,0.0,50.0
165,-1,87.89,0.0,50.0
166,-1,86.78,0.0,50.0
167,-1,87.5,0.0,50.0
168,-1,87.14,0.0,50.0
