epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity,lr
0,29.6,29.6,4.14446496963501,48.051696380657084,0.1
1,34.87,34.87,3.8376033306121826,46.01693399320255,0.09999451708687114
2,41.88,41.88,3.553940534591675,43.84242144177449,0.09997807075247146
3,44.93,44.93,3.292574644088745,41.58704012879375,0.09995066821070679
