test,nact,before
89.76,100.0,10.0
89.71,100.0,10.0
89.79,100.0,10.0
89.98,100.0,10.0
89.57,100.0,10.0
89.62,100.0,10.0
90.09,100.0,10.0
89.89,100.0,10.0
89.91,100.0,10.0
89.38,100.0,10.0
90.02,100.0,10.0
89.93,100.0,10.0
90.27,100.0,10.0
89.69,100.0,10.0
89.87,100.0,10.0
89.5,100.0,10.0
90.03,100.0,10.0
90.06,100.0,10.0
89.7,100.0,10.0
89.5,100.0,10.0
89.81,100.0,10.0
90.01,100.0,10.0
90.39,100.0,10.0
89.91,100.0,10.0
90.18,100.0,10.0
90.08,100.0,10.0
90.15,100.0,10.0
90.27,100.0,10.0
89.77,100.0,10.0
89.69,100.0,10.0
90.02,100.0,10.0
90.11,100.0,10.0
90.06,100.0,10.0
90.01,100.0,10.0
62.26,80.0,10.87
66.76,80.0,10.87
69.14,80.0,10.87
72.52,80.0,10.87
74.22,80.0,10.87
76.21,80.0,10.87
77.64,80.0,10.87
78.81,80.0,10.87
79.83,80.0,10.87
80.5,80.0,10.87
81.24,80.0,10.87
81.38,80.0,10.87
81.99,80.0,10.87
81.96,80.0,10.87
83.3,80.0,10.87
82.81,80.0,10.87
83.07,80.0,10.87
83.5,80.0,10.87
83.95,80.0,10.87
83.87,80.0,10.87
84.38,80.0,10.87
85.11,80.0,10.87
85.16,80.0,10.87
85.02,80.0,10.87
85.08,80.0,10.87
85.42,80.0,10.87
85.99,80.0,10.87
85.63,80.0,10.87
86.05,80.0,10.87
85.93,80.0,10.87
86.04,80.0,10.87
85.97,80.0,10.87
86.64,80.0,10.87
85.68,80.0,10.87
86.74,80.0,10.87
86.64,80.0,10.87
86.29,80.0,10.87
86.72,80.0,10.87
86.94,80.0,10.87
86.86,80.0,10.87
86.58,80.0,10.87
86.4,80.0,10.87
86.87,80.0,10.87
86.62,80.0,10.87
86.69,80.0,10.87
86.98,80.0,10.87
86.76,80.0,10.87
86.69,80.0,10.87
87.19,80.0,10.87
87.22,80.0,10.87
87.6,80.0,10.87
87.74,80.0,10.87
87.47,80.0,10.87
87.35,80.0,10.87
87.69,80.0,10.87
87.74,80.0,10.87
87.5,80.0,10.87
87.51,80.0,10.87
87.32,80.0,10.87
88.24,80.0,10.87
87.74,80.0,10.87
87.68,80.0,10.87
87.97,80.0,10.87
87.76,80.0,10.87
87.81,80.0,10.87
88.2,80.0,10.87
87.86,80.0,10.87
88.66,80.0,10.87
88.38,80.0,10.87
